Descrição,Fornecedor,Data,Valor,Centro de Custo,Conta
Vendas cartão,,09/03/2026,"R$6.347,69 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,09/03/2026,"R$165,90 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
PIX ENVIADO GRASIELLI GANZERT LOURENCO,,09/03/2026,"-R$224,00",Taxa,Loja Ahu - Itaú - 98608-0
BOLETO PAGO MALAGOLI DIS,Malagoli,09/03/2026,"-R$799,00",Fábrica,Loja Ahu - Itaú - 98608-0
Transferências entre contas,,09/03/2026,"-R$2.000,00",Transf. Entre Contas,Loja Ahu - Itaú - 98608-0
Transferências entre contas,,09/03/2026,"R$2.000,00 ",Transf. Entre Contas,Compras - Inter - 23631657-5
Pix enviadoIfoodcom Agencia De Restaurantes,Ifood,09/03/2026,"-R$470,26",Fábrica,Compras - Inter - 23631657-5
Vendas cartão,,10/03/2026,"R$345,75 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,10/03/2026,"R$42,90 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,10/03/2026,"R$348,89 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
BOLETO PAGO FRANCONNY IN,Conny,10/03/2026,"-R$956,00",Loja,Loja Ahu - Itaú - 98608-0
PIX ENVIADO DRIELLY BENEDETTI SOUZA,,10/03/2026,"-R$2.000,00",Despesas Marketing,Loja Ahu - Itaú - 98608-0
Matéria prima,Marmikok,10/03/2026,"-R$408,70",Fábrica,Loja Ahu - Itaú - 98608-0
REND PAGO APLIC AUT APR,,10/03/2026,"R$0,05 ",Rendimentos de Aplicações,Loja Ahu - Itaú - 98608-0
Compra no débitoCondor Cristo Rei Lj28 Curitiba BraAlimentação,Condor,10/03/2026,"-R$325,63",Fábrica,Compras - Inter - 23631657-5
Pix enviadoAssai AtacadistaSem categoria,Assai,10/03/2026,"-R$421,85",Fábrica,Compras - Inter - 23631657-5
Pix enviadoGrowth SupplementsSem categoria,,10/03/2026,"-R$103,58",Fábrica,Compras - Inter - 23631657-5
Vendas cartão,,11/03/2026,"R$261,20 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,11/03/2026,"R$33,90 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,11/03/2026,"R$236,85 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,11/03/2026,"R$45,20 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Boleto de cobrança recebidoUva & AlmaVendas,Uva,11/03/2026,"R$48,62 ",Vendas Food Service,Compras - Inter - 23631657-5
Boleto de cobrança recebidoCoin Bistro E Bebidas LtdaVendas,Coin,11/03/2026,"R$131,25 ",Vendas Food Service,Compras - Inter - 23631657-5
Crédito domicílio cartãoCartão De Crédito - IfoodVendas,Ifood,11/03/2026,"R$13,95 ",Vendas Loja - Delivery,Compras - Inter - 23631657-5
Vendas cartão,,12/03/2026,"R$288,29 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,12/03/2026,"R$72,90 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,12/03/2026,"R$392,68 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,12/03/2026,"R$26,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
BOLETO PAGO GESTAR-ASSES,,12/03/2026,"-R$127,13",Taxa Sindicato,Loja Ahu - Itaú - 98608-0
Compra no débitoPophouse Curitiba BraAlimentação,Pop House,12/03/2026,"-R$234,52",Fábrica,Compras - Inter - 23631657-5
Matéria prima,Cia da Verdura,13/03/2026,"-R$18,80",Fábrica,Caixa Dinheiro
Manutenção,Rei das fechaduras,13/03/2026,"-R$198,00",Manutenção,Caixa Dinheiro
Vendas cartão,,13/03/2026,"R$72,29 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,13/03/2026,"R$48,00 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
PIX RECEBIDO 99 FOOD13/03,,13/03/2026,"R$0,01 ",Vendas Loja - Delivery,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,13/03/2026,"R$292,88 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,13/03/2026,"R$127,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Insumos,Marmikok,13/03/2026,"-R$89,05",Loja,Loja Ahu - Itaú - 98608-0
PIX ENVIADO ENDRYW GABRIEL LINO DE SOUZA,,13/03/2026,"-R$204,00",Vale Transporte,Loja Ahu - Itaú - 98608-0
BOLETO PAGO COPEL-DIS,Copel,13/03/2026,"-R$880,13",Luz,Loja Ahu - Itaú - 98608-0
REND PAGO APLIC AUT APR,,13/03/2026,"R$0,01 ",Rendimentos de Aplicações,Loja Ahu - Itaú - 98608-0
Pix enviadoPix MarketplaceSem categoria,,13/03/2026,"-R$34,04",Fábrica,Compras - Inter - 23631657-5
Compra no débitoSidmareletrolt Curitiba BraCompras,,13/03/2026,"-R$69,00",Fábrica,Compras - Inter - 23631657-5
Pix enviadoShpp Brasil Instituicao De PagSem categoria,,14/03/2026,"-R$16,96",Fábrica,Compras - Inter - 23631657-5
Pix enviadoShpp Brasil Instituicao De PagSem categoria,,14/03/2026,"-R$69,53",Fábrica,Compras - Inter - 23631657-5
Pix enviadoAmazoncombrSem categoria,,14/03/2026,"-R$19,49",Fábrica,Compras - Inter - 23631657-5
Pix enviadoPix MarketplaceSem categoria,,14/03/2026,"-R$184,55",Fábrica,Compras - Inter - 23631657-5
Matéria prima,Spal,14/03/2026,"-R$205,69",Loja,Compras - Inter - 23631657-5
Pix enviadoPix MarketplaceSem categoria,,15/03/2026,"-R$55,00",Fábrica,Compras - Inter - 23631657-5
Pix enviadoPix MarketplaceSem categoria,,15/03/2026,"-R$379,90",Equipamentos,Compras - Inter - 23631657-5
Transferência entre contas,,15/03/2026,"R$2.000,00 ",Transf. Entre Contas,Compras - Inter - 23631657-5
Pix enviadoShpp Brasil Instituicao De PagSem categoria,,15/03/2026,"-R$183,47",Fábrica,Compras - Inter - 23631657-5
Vendas cartão,,16/03/2026,"R$5.013,21 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,16/03/2026,"R$396,54 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,16/03/2026,"R$9.514,65 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,16/03/2026,"R$724,90 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Transferência entre contas,,16/03/2026,"-R$2.000,00",Transf. Entre Contas,Loja Ahu - Itaú - 98608-0
Matéria prima,Jullye Frutas,16/03/2026,"-R$23,25",Loja,Loja Ahu - Itaú - 98608-0
PIX ENVIADO 50.491.721 CLEVERSON RODRIGO,,16/03/2026,"-R$18,00",Loja,Loja Ahu - Itaú - 98608-0
PIX ENVIADO GRASIELLI GANZERT LOURENCO,,16/03/2026,"-R$112,00",Taxa,Loja Ahu - Itaú - 98608-0
Transferência entre contas,,16/03/2026,"-R$5.000,00",Transf. Entre Contas,Loja Ahu - Itaú - 98608-0
BOLETO PAGO ASTORIA DIST,,16/03/2026,"-R$550,00",Aluguel de Equipamentos,Loja Ahu - Itaú - 98608-0
BOLETO PAGO ASTORIA DIST,,16/03/2026,"-R$550,00",Aluguel de Equipamentos,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,Copel,16/03/2026,"-R$2.087,23",Luz,Loja Ahu - Itaú - 98608-0
Transferência entre contas,,16/03/2026,"-R$200,00",Transf. Entre Contas,Loja Ahu - Itaú - 98608-0
PAGAMENTOS CONCESSIONARIA,Copel,16/03/2026,"-R$1.255,90",Luz,Loja Ahu - Itaú - 98608-0
REND PAGO APLIC AUT APR,,16/03/2026,"R$0,02 ",Rendimentos de Aplicações,Loja Ahu - Itaú - 98608-0
Matéria prima,De Marchi,16/03/2026,"-R$265,70",Fábrica,Compras - Inter - 23631657-5
Aventais,,16/03/2026,"-R$181,12",Uniformes,Compras - Inter - 23631657-5
Vendas cartão,,17/03/2026,"R$701,39 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,17/03/2026,"R$307,70 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Insumos,Nobelpack,17/03/2026,"-R$475,67",Loja,Loja Alto XV - Itaú - 98554-6
Matéria prima,Spal,17/03/2026,"-R$278,58",Loja,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,17/03/2026,"R$846,88 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,17/03/2026,"R$201,90 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Matéria prima,,17/03/2026,"-R$265,09",Fábrica,Loja Ahu - Itaú - 98608-0
Matéria prima,,17/03/2026,"-R$285,15",Fábrica,Loja Ahu - Itaú - 98608-0
Matéria prima,,17/03/2026,"-R$59,90",Loja,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,Posto,17/03/2026,"-R$100,00",Gasolina,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,shopee,17/03/2026,"-R$12,90",Equipamentos,Loja Ahu - Itaú - 98608-0
Insumos,Marmikok,17/03/2026,"-R$409,70",Loja,Loja Ahu - Itaú - 98608-0
Matéria prima,Milk Creamer,17/03/2026,"-R$365,89",Compra de Sorvete,Loja Ahu - Itaú - 98608-0
Matéria prima,Spal,17/03/2026,"-R$337,45",Loja,Loja Ahu - Itaú - 98608-0
REND PAGO APLIC AUT APR,,17/03/2026,"R$0,02 ",Rendimentos de Aplicações,Loja Ahu - Itaú - 98608-0
Matéria prima,Davirene Panificadora,17/03/2026,"-R$799,50",Fábrica,Compras - Inter - 23631657-5
Pix enviadoPix MarketplaceSem categoria,,17/03/2026,"-R$50,00",Fábrica,Compras - Inter - 23631657-5
Matéria prima,Cia da Verdura,17/03/2026,"-R$23,60",Fábrica,Caixa Dinheiro
Insumos,Comercial Barbante,17/03/2026,"-R$42,90",Fábrica,Caixa Dinheiro
Matéria prima,Pop House,17/03/2026,"-R$236,68",Fábrica,Caixa Dinheiro
Matéria prima,Lacto Minas,17/03/2026,"-R$107,88",Fábrica,Caixa Dinheiro
Taxa Limpeza,Tania,18/03/2026,"-R$180,00",Limpeza,Caixa Dinheiro
Vendas cartão,,18/03/2026,"R$531,76 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,18/03/2026,"R$38,00 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,18/03/2026,"R$1.284,75 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,18/03/2026,"R$123,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Vendas cartão,,19/03/2026,"R$359,38 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,19/03/2026,"R$25,90 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Transferência entre contas,,19/03/2026,"-R$2.000,00",Transf. Entre Contas,Loja Alto XV - Itaú - 98554-6
REND PAGO APLIC AUT APR,,19/03/2026,"R$0,05 ",Rendimentos de Aplicações,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,19/03/2026,"R$517,72 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
SISPAG PIX QR-CODE,Oi,19/03/2026,"-R$128,50",Internet,Loja Ahu - Itaú - 98608-0
Dedetização,Dedetização,19/03/2026,"-R$500,00",Manutenção,Loja Ahu - Itaú - 98608-0
PIX ENVIADO NIVALDO GERA,Jardinagem,19/03/2026,"-R$400,00",Jardinagem,Loja Ahu - Itaú - 98608-0
Matéria prima,Mix tudo,19/03/2026,"-R$257,92",Loja,Compras - Inter - 23631657-5
Matéria prima,Mix tudo,19/03/2026,"-R$371,98",Fábrica,Compras - Inter - 23631657-5
Transferência entre contas,,19/03/2026,"R$2.000,00 ",Transf. Entre Contas,Compras - Inter - 23631657-5
Vendas cartão,,20/03/2026,"R$835,51 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,20/03/2026,"R$26,20 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
BOLETO PAGO CLOUDFY TECN,,20/03/2026,"-R$578,86",ERP,Loja Alto XV - Itaú - 98554-6
SISPAG TRIB COD BARRAS,,20/03/2026,"-R$1.028,93",Simples Nacional - DAS,Loja Alto XV - Itaú - 98554-6
SISPAG PIX QR-CODE,,20/03/2026,"-R$784,07",INSS,Loja Alto XV - Itaú - 98554-6
SISPAG PIX QR-CODE,,20/03/2026,"-R$799,97",FGTS,Loja Alto XV - Itaú - 98554-6
Matéria prima,Jullye,20/03/2026,"-R$10,50",Loja,Caixa Dinheiro
Matéria prima,Jullye,20/03/2026,"-R$84,95",Fábrica,Caixa Dinheiro
REND PAGO APLIC AUT APR,,20/03/2026,"R$0,08 ",Rendimentos de Aplicações,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,20/03/2026,"R$421,35 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,20/03/2026,"R$92,90 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
SISPAG CONCESSIONARIA,Vivo,20/03/2026,"-R$109,60",Internet,Loja Ahu - Itaú - 98608-0
SISPAG CONCESSIONARIA,Vivo,20/03/2026,"-R$107,05",Internet,Loja Ahu - Itaú - 98608-0
SISPAG CONCESSIONARIA,Sanepar,20/03/2026,"-R$192,81",Água,Loja Ahu - Itaú - 98608-0
BOLETO PAGO CLOUDFY TECN,,20/03/2026,"-R$438,65",ERP,Loja Ahu - Itaú - 98608-0
BOLETO PAGO CLOUDFY TECN,,20/03/2026,"-R$578,86",ERP,Loja Ahu - Itaú - 98608-0
REND PAGO APLIC AUT APR,,20/03/2026,"R$0,01 ",Rendimentos de Aplicações,Loja Ahu - Itaú - 98608-0
Insumo,Carrefour,20/03/2026,"-R$519,00",Equipamentos,Compras - Inter - 23631657-5
Compra no débitoCia Da Verdura Curitiba BraAlimentação,Cia da Verdura,20/03/2026,"-R$172,38",Fábrica,Compras - Inter - 23631657-5
Vendas cartão,,23/03/2026,"R$3.906,98 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,23/03/2026,"R$258,00 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,23/03/2026,"R$8.279,58 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,23/03/2026,"R$516,80 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
SISPAG PIX QR-CODE,Mercado Pago,23/03/2026,"-R$79,00",Equipamentos,Loja Ahu - Itaú - 98608-0
BOLETO PAGO BANCO C6 S.A,,23/03/2026,"-R$79,42",Despesas Administrativas,Loja Ahu - Itaú - 98608-0
SISPAG PIX QR-CODE,Pop House,23/03/2026,"-R$263,00",Fábrica,Loja Ahu - Itaú - 98608-0
Matéria prima,Condor,23/03/2026,"-R$306,28",Fábrica,Loja Ahu - Itaú - 98608-0
Matéria prima,Comércio de Produtos,23/03/2026,"-R$390,00",Fábrica,Loja Ahu - Itaú - 98608-0
Matéria prima,Fabrilac,23/03/2026,"-R$799,00",Fábrica,Loja Ahu - Itaú - 98608-0
Pix enviadoPix MarketplaceSem categoria,,23/03/2026,"-R$748,49",Equipamentos,Compras - Inter - 23631657-5
Vendas cartão,,24/03/2026,"R$636,55 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,24/03/2026,"R$131,90 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,24/03/2026,"R$760,51 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,24/03/2026,"R$54,50 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
PIX ENVIADO GRASIELLI GA,,24/03/2026,"-R$224,00",Taxa,Loja Ahu - Itaú - 98608-0
SISPAG PIX QR-CODE,Assaí Atacadista,24/03/2026,"-R$535,37",Fábrica,Loja Ahu - Itaú - 98608-0
SISPAG PIX QR-CODE,A Four Brasil,24/03/2026,"-R$7,67",Fábrica,Loja Ahu - Itaú - 98608-0
Vendas cartão,,25/03/2026,"R$415,20 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,25/03/2026,"R$96,90 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,25/03/2026,"R$346,58 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,25/03/2026,"R$97,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Compra no débitoDaiso 40 Curitiba BraCompras,,25/03/2026,"-R$86,93",Fábrica,Compras - Inter - 23631657-5
Compra no débito054 - Pr Curitiba Esta Curitiba BraCompras,,25/03/2026,"-R$65,98",Fábrica,Compras - Inter - 23631657-5
Compra no débitoKalunga*kalunga 0050 Curitiba BraLazer,,25/03/2026,"-R$28,60",Fábrica,Compras - Inter - 23631657-5
Crédito domicílio cartãoCartão De Crédito - IfoodVendas,,25/03/2026,"R$13,95 ",Vendas Loja - Delivery,Compras - Inter - 23631657-5
Crédito domicílio cartãoCartão De Crédito - IfoodVendas,,25/03/2026,"R$18,10 ",Vendas Loja - Delivery,Compras - Inter - 23631657-5
Vendas cartão,,26/03/2026,"R$494,56 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,26/03/2026,"R$1.049,46 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,26/03/2026,"R$71,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,Estar,26/03/2026,"-R$30,00",Despesas Administrativas,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,Marmikok,26/03/2026,"-R$250,00",Loja,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,Vivo,26/03/2026,"-R$128,21",Internet,Loja Ahu - Itaú - 98608-0
Vendas Food Service,Uva,26/03/2026,"R$26,79 ",Vendas Food Service,Compras - Inter - 23631657-5
Vendas cartão,,27/03/2026,"R$906,16 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,27/03/2026,"R$160,60 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,27/03/2026,"R$825,06 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,27/03/2026,"R$153,90 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,Coca,27/03/2026,"-R$182,40",Loja,Loja Ahu - Itaú - 98608-0
Matéria prima,Spal,27/03/2026,"-R$252,12",Loja,Loja Ahu - Itaú - 98608-0
Compra no débitoPhoenix Auto Posto Ltd Curitiba BraTransporte,Posto,29/03/2026,"-R$254,67",Gasolina,Compras - Inter - 23631657-5
Vendas cartão,,30/03/2026,"R$5.346,71 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,30/03/2026,"R$404,54 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,30/03/2026,"R$9.341,89 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,30/03/2026,"R$976,80 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
PIX RECEBIDO ANDREA 30/03,,30/03/2026,"R$23,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
PIX ENVIADO MARIA VICTORIA RIGLER ALVES,,30/03/2026,"-R$224,00",Taxa,Loja Ahu - Itaú - 98608-0
PIX ENVIADO ARIELLE KEVILLYN SANT ANNA,,30/03/2026,"-R$112,00",Taxa,Loja Ahu - Itaú - 98608-0
PIX ENVIADO AMANDA DA COSTA CORTE,,30/03/2026,"-R$89,93",Taxa,Loja Ahu - Itaú - 98608-0
PIX ENVIADO LIDIANE DA SILVA DE ALCANTARA,,30/03/2026,"-R$480,00",Salário,Loja Ahu - Itaú - 98608-0
Transferência entre contas,,30/03/2026,"-R$2.000,00",Transf. Entre Contas,Loja Ahu - Itaú - 98608-0
PIX ENVIADO GRO GESTAO DE RISCOS OCUPACIONAIS,,30/03/2026,"-R$39,90",Exames Médicos,Loja Ahu - Itaú - 98608-0
Sensores de alarme,,30/03/2026,"-R$434,50",Equipamentos,Loja Ahu - Itaú - 98608-0
Sensores de alarme,,30/03/2026,"-R$520,73",Equipamentos,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,,30/03/2026,"-R$111,48",Vale Alimentação,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,,30/03/2026,"-R$200,00",Gasolina,Loja Ahu - Itaú - 98608-0
PIX ENVIADO GRO GESTAO DE RISCOS OCUPACIONAIS,,30/03/2026,"-R$39,90",Exames Médicos,Loja Ahu - Itaú - 98608-0
BOLETO PAGO FUNDO DE URB,,30/03/2026,"-R$748,92",Vale Transporte,Loja Ahu - Itaú - 98608-0
BOLETO PAGO PLUXEE BENEF,,30/03/2026,"-R$1.632,00",Vale Alimentação,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,,30/03/2026,"-R$133,50",Vale Transporte,Loja Ahu - Itaú - 98608-0
Matéria prima,Feito Chocolate,30/03/2026,"-R$269,04",Loja,Compras - Inter - 23631657-5
Pix enviadoCarrefour Comercio E Industria LtdaSem categoria,,30/03/2026,"-R$220,32",Fábrica,Compras - Inter - 23631657-5
Pix enviadoCarrefour Comercio E Industria LtdaSem categoria,,30/03/2026,"-R$220,32",Fábrica,Compras - Inter - 23631657-5
Transferência entre contas,,30/03/2026,"R$2.000,00 ",Transf. Entre Contas,Compras - Inter - 23631657-5
Vendas cartão,,31/03/2026,"R$244,13 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,31/03/2026,"R$19,74 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,31/03/2026,"R$290,87 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,31/03/2026,"R$19,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Matéria prima,Marmikok,31/03/2026,"-R$284,80",Fábrica,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,Feito Chocolate,31/03/2026,"-R$89,80",Fábrica,Loja Ahu - Itaú - 98608-0
Transferência entre contas,,31/03/2026,"-R$1.000,00",Transf. Entre Contas,Loja Ahu - Itaú - 98608-0
BOLETO PAGO Milk Creamer,,31/03/2026,"-R$736,83",Compra de Sorvete,Loja Ahu - Itaú - 98608-0
REND PAGO APLIC AUT APR,,31/03/2026,"R$0,03 ",Rendimentos de Aplicações,Loja Ahu - Itaú - 98608-0
Pix enviadoAmazoncombrSem categoria,,31/03/2026,"-R$6,89",Fábrica,Compras - Inter - 23631657-5
Pix enviadoLojas RiachueloSem categoria,,31/03/2026,"-R$309,92",Uniformes,Compras - Inter - 23631657-5
Matéria prima,Gold,31/03/2026,"-R$459,80",Fábrica,Compras - Inter - 23631657-5
Matéria prima,Pop House,31/03/2026,"-R$296,50",Fábrica,Caixa Dinheiro
,,,,,
troco p/ loja,,06/01/2026,"R$386,15 ",Transf. Entre Contas,Caixa Dinheiro
Transferência entre contas,,31/03/2026,"R$1.000,00 ",Transf. Entre Contas,Compras - Sicredi - 35220-1
Insumos,Condor,31/03/2026,"-R$178,77",Fábrica,Compras - Sicredi - 35220-1
Internet,Ligga,20/03/2026,"-R$99,90",Internet,Compras - Sicredi - 35220-1
Pro labore Henrique,,16/03/2026,"-R$2.500,00",Pro labore,Compras - Sicredi - 35220-1
Pro labore Marina,,16/03/2026,"-R$2.500,00",Pro labore,Compras - Sicredi - 35220-1
Transferência entre contas,,16/03/2026,"R$200,00 ",Transf. Entre Contas,Compras - Sicredi - 35220-1
Transferência entre contas,,16/03/2026,"R$5.000,00 ",Transf. Entre Contas,Compras - Sicredi - 35220-1
cartão de crédito,,13/03/2026,"-R$200,52",Equipamentos,Compras - Sicredi - 35220-1
tarifa de conta,,12/03/2026,"-R$20,00",Tarifa de Conta Corrente,Compras - Sicredi - 35220-1
tarifa de conta,,10/03/2026,"-R$57,50",Tarifa de Conta Corrente,Compras - Sicredi - 35220-1
insumos,,09/03/2026,"-R$18,00",Loja,Compras - Sicredi - 35220-1
Pro labore Henrique,,06/03/2026,"-R$3.000,00",Pro labore,Compras - Sicredi - 35220-1
Pro labore Marina,,06/03/2026,"-R$3.000,00",Pro labore,Compras - Sicredi - 35220-1
Transferência entre contas,,06/03/2026,"R$6.000,00 ",Transf. Entre Contas,Compras - Sicredi - 35220-1
Vendas cartão,,01/04/2026,"R$222,84 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,01/04/2026,"R$71,50 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,01/04/2026,"R$174,02 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,01/04/2026,"R$15,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
PIX ENVIADO AMANDA DA COSTA CORTE,,01/04/2026,"-R$89,93",,Loja Ahu - Itaú - 98608-0
PIX ENVIADO AMANDA DA COSTA CORTE,,01/04/2026,"-R$60,00",,Loja Ahu - Itaú - 98608-0
PIX ENVIADO GRO GESTAO DE RISCOS OCUPACIONAIS,,01/04/2026,"-R$39,90",,Loja Ahu - Itaú - 98608-0
PIX ENVIADO ARIELLE KEVILLYN SANT ANNA,,01/04/2026,"-R$3.696,78",,Loja Ahu - Itaú - 98608-0
BOLETO PAGO ENRIQUE BENI,,01/04/2026,"-R$406,50",Loja,Loja Ahu - Itaú - 98608-0
REND PAGO APLIC AUT APR,,01/04/2026,"R$0,07 ",Rendimentos de Aplicações,Loja Ahu - Itaú - 98608-0
Vendas food service,Uva,01/04/2026,"R$51,88 ",Vendas Food Service,Compras - Inter - 23631657-5
Vendas food service,Coin,01/04/2026,"R$106,48 ",Vendas Food Service,Compras - Inter - 23631657-5
Transferência recebidaIfood.com Agencia De Restaurantes,,01/04/2026,"R$32,70 ",Vendas Loja - Delivery,Compras - Inter - 23631657-5
Matéria prima,Jullye,02/04/2026,"-R$13,73",Loja,Caixa Dinheiro
Vendas cartão,,02/04/2026,"R$500,62 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,02/04/2026,"R$185,00 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,02/04/2026,"R$746,31 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,02/04/2026,"R$18,60 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Transferência entre contas,,02/04/2026,"-R$6.000,00",Transf. Entre Contas,Loja Ahu - Itaú - 98608-0
PIX ENVIADO 50.491.721 CLEVERSON RODRIGO,,02/04/2026,"-R$18,00",,Loja Ahu - Itaú - 98608-0
Insumos,Marmikok,02/04/2026,"-R$390,40",Loja,Loja Ahu - Itaú - 98608-0
Matéria prima,Condor,02/04/2026,"-R$140,46",Fábrica,Loja Ahu - Itaú - 98608-0
TAR CARTAO PJ,,02/04/2026,"-R$14,10",,Loja Ahu - Itaú - 98608-0
