Sanduíche de Frango - 1un,06/12/2023,Cassinelli,"12,000","R$ 8,50"
Sanduíche de Pernil - 1un,06/12/2023,Cassinelli,"12,000","R$ 8,50"
Morango Bandeja - c/ 250gr,09/12/2023,Jullye Frutas,"4,000","R$ 3,99"
Pote 200ml Descartável - c/ 50un,11/12/2023,Armázem das embalgens,"10,000","R$ 5,50"
Água Crystal Com Gás - Garrafa - (500ml),11/12/2023,Spal ,"48,000","R$ 1,30"
Coca Cola Sem Açucar - Lata - (350ml),11/12/2023,Spal ,"12,000","R$ 2,05"
Coca Cola - Lata - (350ml),11/12/2023,Spal ,"24,000","R$ 2,06"
Morango Bandeja - c/ 250gr,12/12/2023,Muffato,"2,000","-R$ 5,99"
Sprite - Lata - (350ml),15/12/2023,Adega,"6,000","R$ 2,95"
Água Crystal - Garrafa - (500ml),15/12/2023,Adega,"96,000","R$ 0,89"
Fanta Laranja - Lata - (350ml),15/12/2023,Adega,"6,000","R$ 2,95"
Fanta Uva - Lata - (350ml),15/12/2023,Adega,"6,000","R$ 2,95"
Schweppes Citrus - Lata - (350ml),15/12/2023,Adega,"6,000","R$ 2,95"
Ki-Casquinha Conny - c/ 240un,16/12/2023,marmikok,"4,000","R$ 63,00"
Pázinha Curta Branca - c/ 500un,16/12/2023,marmikok,"12,000","R$ 18,90"
Leite UHT Integral - 1kg,19/12/2023,Lacto Minas,"52,000","R$ 3,40"
Morango Bandeja - c/ 250gr,22/12/2023,Muffato,"1,000","R$ 6,99"
Banana,22/12/2023,Muffato,"0,140","R$ 6,99"
Ki-Cascão Conny - c/ 120un,02/01/2024,Marmikok,"2,000","R$ 44,80"
Papel Higiênico - FD - 12 Rolos/30mt,02/01/2024,Lacto Minas,"3,000","R$ 11,90"
Água Crystal Com Gás - Garrafa - (500ml),03/01/2024,Spal ,"72,000","R$ 1,20"
Coca Cola Sem Açucar - Lata - (350ml),03/01/2024,Spal ,"12,000","R$ 2,05"
Coca Cola - Lata - (350ml),03/01/2024,Spal ,"24,000","R$ 2,06"
Banana,04/01/2024,Condor,"2195,000","R$ 2,87"
Quiche Capresse - 1un,04/01/2024,Cassinelli,"6,000","R$ 4,50"
Quiche de Alho Poró - 1un,04/01/2024,Cassinelli,"6,000","R$ 4,50"
Quiche Lorraine - 1un,04/01/2024,Cassinelli,"6,000","R$ 4,50"
Sanduíche de Carne - 1un,04/01/2024,Cassinelli,"6,000","R$ 9,00"
Sanduíche de Parma - 1un,04/01/2024,Cassinelli,"12,000","R$ 9,50"
Leite UHT Integral - 1kg,04/01/2024,Frubana,"36,000","R$ 3,84"
Ki-Cascão Conny - c/ 120un,05/01/2024,Abilio,"4,000","R$ 44,80"
Ki-Casquinha Conny - c/ 240un,05/01/2024,Abilio,"2,000","R$ 63,00"
Pázinha Curta Branca - c/ 500un,05/01/2024,Abilio,"6,000","R$ 18,90"
Pote 100ml Descartável - c/ 100un,05/01/2024,Abilio,"4,000","R$ 6,20"
Guardanapo Interfolhado 10x20 ROSA - c/ 5.000un,05/01/2024,Abilio,"3,000","R$ 42,90"
Papel Interfolhado 20x20 Branco 2 Dobras - c/ 1.000un,05/01/2024,Abilio,"5,000","R$ 14,80"
Pote 200ml Descartável - c/ 50un,05/01/2024,Abilio,"4,000","R$ 6,50"
Mini Disqueti - Chocolate ao Leite - 11gr,05/01/2024,Abilio,"1,000","R$ 23,90"
Água Crystal Com Gás - Garrafa - (500ml),07/01/2024,Condor,"12,000","R$ 2,59"
Mini Óreo - 35gr,07/01/2024,Condor,"6,000","R$ 3,39"
Saco de Lixo 20 Litros Preto Micra 4 - c/ 100un,08/01/2024,Super Brilho,"4,000","R$ 7,88"
Saco de Lixo 40 Litros Preto Micra 4 - c/ 100un,08/01/2024,Super Brilho,"4,000","R$ 12,88"
Detergente Neutro - 5 Litros,08/01/2024,Super Brilho,"3,000","R$ 10,92"
Saco de Lixo 60 Litros Preto Micra 8 - c/ 100un,08/01/2024,Super Brilho,"4,000","R$ 23,62"
Pote Kraft 80ml - c/ 50un,08/01/2024,Nazapack,"160,000","R$ 12,30"
Pote Kraft 480ml - c/ 50un,09/01/2024,FNS,"6,000","R$ 50,62"
Tampa p/ Pote Kraft 480ml - c/ 50un,09/01/2024,FNS,"6,000","R$ 49,06"
Leite UHT Integral - 1kg,09/01/2024,WHS,"60,000","R$ 3,69"
Coca Cola - Lata - (350ml),09/01/2024,WHS,"12,000","R$ 3,49"
Coca Cola Sem Açucar - Lata - (350ml),09/01/2024,WHS,"6,000","R$ 3,49"
Ki-Cascão Conny - c/ 120un,10/01/2024,Franconny,"20,000","R$ 38,00"
Ki-Casquinha Conny - c/ 240un,10/01/2024,Franconny,"8,000","R$ 49,00"
Pote de Isopor 120ml - c/ 20un,10/01/2024,mercado das embalagens,"1,000","R$ 5,20"
Álcool Líquido 70% - 1 Litro,15/01/2024,Lacto Minas,"2,000","R$ 7,39"
Pano Multiuso - 28cm x 25mt,15/01/2024,Lacto Minas,"5,000","R$ 12,90"
Café em Grão - 1kg,15/01/2024,Astoria,"5,000","R$ 75,00"
Água Crystal - Garrafa - (500ml),17/01/2024,Spal ,"144,000","R$ 1,20"
Coca Cola - Lata - (350ml),17/01/2024,Spal ,"24,000","R$ 2,06"
Chá Matte Leao Guaraná Power - Copo - (300ml),17/01/2024,Spal ,"1,000","R$ 18,39"
Chá Matte Leao Limão - Copo - (300ml),17/01/2024,Spal ,"1,000","R$ 20,37"
Chá Matte Leao - Copo - (300ml),17/01/2024,Spal ,"1,000","R$ 20,26"
Coca Cola Sem Açucar - Lata - (350ml),17/01/2024,Spal ,"6,000","R$ 2,05"
Leite UHT Integral - 1kg,17/01/2024,Frubana,"24,000","R$ 3,83"
Pázinha Curta Branca - c/ 500un,25/01/2024,Abilio,"6,000","R$ 18,90"
Papel Interfolhado 20x20 Branco 2 Dobras - c/ 1.000un,25/01/2024,Abilio,"5,000","R$ 14,80"
Pote 200ml Descartável - c/ 50un,25/01/2024,Abilio,"6,000","R$ 6,50"
Leite UHT Integral - 1kg,30/01/2024,Condor,"48,000","R$ 3,99"
Água Sanitária - 5 Litros,30/01/2024,Condor,"1,000","R$ 15,59"
Sabão em Pó Omo - 2.2kg,30/01/2024,Condor,"2,000","R$ 22,57"
Saco de Lixo 20 Litros Preto Micra 4 - c/ 100un,31/01/2024,Super Brilho,"5,000","R$ 7,88"
Saco de Lixo 40 Litros Preto Micra 4 - c/ 100un,31/01/2024,Super Brilho,"3,000","R$ 12,87"
Saco de Lixo 60 Litros Preto Micra 8 - c/ 100un,31/01/2024,Super Brilho,"4,000","R$ 23,62"
